Tree#,Groups,WScore
1,16_HALO_8B-1_HALO_1A,0.156556
1,17_HALO_1C-1_HALO_1A,0.104629
1,17_S6_g11-1_HALO_1A,0.960344
1,18_11_20_1_1-1_HALO_1A,0.762092
1,18_11_20_1_2-1_HALO_1A,0.540745
1,18_11_20_1_3-1_HALO_1A,0.777586
1,18_11_20_2_1-1_HALO_1A,0.76988
1,18_11_20_2_2-1_HALO_1A,0.725215
1,18_11_20_2_3-1_HALO_1A,0.773782
1,18_11_20_3_1-1_HALO_1A,0.803576
1,18_11_20_3_2-1_HALO_1A,0.827473
1,18_11_20_3_3-1_HALO_1A,0.51896
1,18_HALO_2C-1_HALO_1A,0.134983
1,18_S6_H6-1_HALO_1A,0.916467
1,19_HALO_3C-1_HALO_1A,0.128277
1,10_G2_HG-20_HALO_4C,0.938617
1,10_HALO_2B-20_HALO_4C,0.081011
1,11_HALO_3B-20_HALO_4C,0.068525
1,12_HALO_4B-20_HALO_4C,0.055888
1,12_W_plus_3_G1-20_HALO_4C,0.959975
1,13_HALO_5B-20_HALO_4C,0.067639
1,13_W_plus_3_G11-20_HALO_4C,0.957251
1,14_HALO_6B-20_HALO_4C,0.08951
1,14_W_plus_3_H6-20_HALO_4C,0.937325
1,15_HALO_7B-20_HALO_4C,0.102784
1,16_HALO_8B-20_HALO_4C,0.066475
1,17_HALO_1C-20_HALO_4C,0.078943
1,17_S6_g11-20_HALO_4C,0.966159
1,18_11_20_1_1-20_HALO_4C,0.808658
1,18_11_20_1_2-20_HALO_4C,0.621687
1,18_11_20_1_3-20_HALO_4C,0.831412
1,18_11_20_2_1-20_HALO_4C,0.825721
1,18_11_20_2_2-20_HALO_4C,0.786741
1,18_11_20_2_3-20_HALO_4C,0.816153
1,18_11_20_3_1-20_HALO_4C,0.844587
1,18_11_20_3_2-20_HALO_4C,0.871283
1,18_11_20_3_3-20_HALO_4C,0.59532
1,18_HALO_2C-20_HALO_4C,0.04897
1,18_S6_H6-20_HALO_4C,0.937913
1,19_HALO_3C-20_HALO_4C,0.055532
1,1_HALO_1A-20_HALO_4C,0.147404
1,10_G2_HG-21_HALO_5C,0.932361
1,10_HALO_2B-21_HALO_5C,0.068334
1,11_HALO_3B-21_HALO_5C,0.06474
1,12_HALO_4B-21_HALO_5C,0.061479
1,12_W_plus_3_G1-21_HALO_5C,0.958307
1,13_HALO_5B-21_HALO_5C,0.072395
1,13_W_plus_3_G11-21_HALO_5C,0.95698
1,14_HALO_6B-21_HALO_5C,0.091259
1,14_W_plus_3_H6-21_HALO_5C,0.936038
1,15_HALO_7B-21_HALO_5C,0.084787
1,16_HALO_8B-21_HALO_5C,0.090126
1,17_HALO_1C-21_HALO_5C,0.070632
1,17_S6_g11-21_HALO_5C,0.96528
1,18_11_20_1_1-21_HALO_5C,0.804526
1,18_11_20_1_2-21_HALO_5C,0.596942
1,18_11_20_1_3-21_HALO_5C,0.820416
1,18_11_20_2_1-21_HALO_5C,0.813907
1,18_11_20_2_2-21_HALO_5C,0.77341
1,18_11_20_2_3-21_HALO_5C,0.813128
1,18_11_20_3_1-21_HALO_5C,0.842075
1,18_11_20_3_2-21_HALO_5C,0.869786
1,18_11_20_3_3-21_HALO_5C,0.575917
1,18_HALO_2C-21_HALO_5C,0.05059
